Date,ibm,wmt,msft,amzn
4/18/2022,126.17,155.88,280.52,3055.7
4/14/2022,126.56,157.08,279.83,3034.13
4/13/2022,126.14,157.22,287.62,3110.82
4/12/2022,125.98,153.23,282.06,3015.75
4/11/2022,126.37,154.29,285.26,3022.44
4/8/2022,127.73,157.41,296.97,3089.21
4/7/2022,128.55,156.54,301.37,3155.69
4/6/2022,129.39,154.99,299.5,3175.12
4/5/2022,128.89,151.47,310.88,3281.1
4/4/2022,130.27,151.04,314.97,3366.93
4/1/2022,130.15,151.01,309.42,3271.2
3/31/2022,130.02,148.92,308.31,3259.95
3/30/2022,132.13,149.87,313.86,3326.02
3/29/2022,131.94,147.23,315.41,3386.3
3/28/2022,131.47,146,310.7,3379.81
3/25/2022,131.35,143.45,303.68,3295.47
3/24/2022,129.25,142.83,304.1,3272.99
3/23/2022,128.3,141.95,299.49,3268.16
3/22/2022,129.06,143.8,304.06,3297.78
3/21/2022,128.1,144.23,299.16,3229.83
3/18/2022,128.76,145.44,300.43,3225.01
3/17/2022,127.96,145.01,295.22,3144.78
3/16/2022,127.04,144.79,294.39,3062.08
3/15/2022,125.64,145.22,287.15,2947.33
3/14/2022,123.94,143.5,276.44,2837.06
3/11/2022,123.96,141.52,280.07,2910.49
3/10/2022,124.35,142.08,285.59,2936.35
3/9/2022,126.22,138.92,288.5,2785.58
3/8/2022,125.68,138.21,275.85,2720.29
3/7/2022,126.07,141.12,278.91,2749.06
3/4/2022,126.62,142.27,289.86,2912.82
3/3/2022,125.93,138.75,295.92,2957.97
3/2/2022,123.86,135.64,300.19,3041.05
3/1/2022,121.35,135.47,294.95,3022.84
2/28/2022,122.51,134.64,298.79,3071.26
2/25/2022,124.18,135.85,297.31,3075.77
2/24/2022,121.97,134.01,294.59,3027.16
2/23/2022,122.07,134.53,280.27,2896.54
2/22/2022,123.92,135.92,287.72,3003.95
2/18/2022,124.35,137.46,287.93,3052.03
2/17/2022,124.97,138.34,290.73,3093.05
2/16/2022,129.18,133.02,299.5,3162.01
2/15/2022,129.94,133.85,299.85,3130.21
2/14/2022,130.15,133.43,294.39,3103.34
2/11/2022,132.69,134.81,294.43,3065.87
2/10/2022,133.52,135.56,301.76,3180.07
2/9/2022,136.15,137.16,310.57,3223.79
2/8/2022,135.39,137.46,303.93,3228.27
2/7/2022,135.61,137.43,300.33,3158.71
2/4/2022,135.52,138.79,305.31,3152.79
2/3/2022,136.14,140.45,300.63,2776.91
2/2/2022,135.62,140.31,312.81,3012.25
2/1/2022,133.92,140.37,308.12,3023.87
1/31/2022,131.98,139.27,310.34,2991.47
1/28/2022,132.9,136.99,307.62,2879.56
1/27/2022,130.94,135.32,299.22,2792.75
1/26/2022,132.66,135.23,296.1,2777.45
1/25/2022,134.48,136.62,287.89,2799.72
1/24/2022,127.29,139.66,295.76,2890.88
1/21/2022,127.81,139.65,295.42,2852.86
1/20/2022,129.26,140.68,300.98,3033.35
1/19/2022,130.01,143.39,302.7,3125.98
1/18/2022,131.36,141.97,302.03,3178.35
1/14/2022,132.61,144.5,309.56,3242.76
1/13/2022,133.16,144.91,304.17,3224.28
1/12/2022,132,142.89,317.61,3304.14
1/11/2022,131.29,143.64,314.33,3307.24
1/10/2022,133.42,144.05,313.62,3229.72
1/7/2022,133.23,144.33,313.39,3251.08
1/6/2022,133.73,142.97,313.23,3265.08
1/5/2022,136.57,143.37,315.73,3287.14
1/4/2022,136.38,141.45,328.33,3350.44
1/3/2022,134.42,144.09,334.06,3408.09
12/31/2021,132.07,144.13,335.63,3334.34
12/30/2021,132.32,142.62,338.62,3372.89
12/29/2021,131.76,142.16,341.24,3384.02
12/28/2021,131.05,142.23,340.55,3413.22
12/27/2021,130.05,140.22,341.74,3393.39
12/23/2021,129.08,138.95,334,3421.37
12/22/2021,128.21,139.26,332.51,3420.74
12/21/2021,127.43,139.08,326.61,3408.34
12/20/2021,125.55,138.66,319.25,3341.58
12/17/2021,125.88,138.22,323.13,3400.35
12/16/2021,124.43,142.79,324.23,3377.42
12/15/2021,121.64,145.21,333.96,3466.3
12/14/2021,122.29,144.38,327.66,3381.83
12/13/2021,121.12,143.02,338.7,3391.35
12/10/2021,122.61,140.49,341.83,3444.24
12/9/2021,122.1,137.97,332.41,3483.42
12/8/2021,121.56,136.07,334.28,3523.16
12/7/2021,120.13,137.46,334.23,3523.29
12/6/2021,118.48,137.91,325.52,3427.37
12/3/2021,117.43,136.43,322.34,3389.79
12/2/2021,115.51,134.41,328.81,3437.36
12/1/2021,115.53,136.06,329.4,3443.72
11/30/2021,115.71,139.53,329.91,3507.07
11/29/2021,117.09,141.51,335.94,3561.57
11/26/2021,114.43,143.76,329,3504.56
11/24/2021,115.34,145.39,337.21,3580.41
11/23/2021,115.4,144.67,336.98,3580.04
11/22/2021,115.08,143.64,339.13,3572.57
11/19/2021,114.67,141.27,342.4,3676.57
11/18/2021,115.27,142.04,340.57,3696.06
11/17/2021,116.65,140.83,338.42,3549
11/16/2021,117.05,142.05,338.19,3540.7
11/15/2021,117.46,145.76,334.77,3545.68
11/12/2021,117.54,146.6,335.42,3525.15
11/11/2021,118.84,147.33,331.14,3472.5
11/10/2021,118.79,147.27,329.52,3482.05
11/9/2021,119.41,148.62,334.65,3576.23
11/8/2021,121.44,148.1,335.68,3488.98
11/5/2021,120.53,149.05,334.76,3518.99
11/4/2021,117.84,150.09,335.14,3477
11/3/2021,123.97,149,332.7,3384
11/2/2021,123.04,148.55,331.83,3312.75
11/1/2021,123.14,148.62,328.09,3318.11
10/29/2021,121.98,148.25,330.33,3372.43
10/28/2021,122.7,147.28,323.09,3446.57
10/27/2021,122.05,146.37,321.91,3392.49
10/26/2021,123.97,147.58,308.9,3376.07
10/25/2021,124.46,148.88,306.94,3320.37
10/22/2021,124.7,147.18,307.96,3335.55
10/21/2021,125.13,145.66,309.55,3435.01
10/20/2021,138.36,144.85,306.22,3415.06
10/19/2021,138.44,143.55,307.04,3444.15
10/18/2021,138.78,140.57,306.1,3446.74
10/15/2021,141.01,139.45,303.02,3409.02
10/14/2021,139.82,138.77,301.58,3299.86
10/13/2021,137.26,137.29,295.16,3284.28
10/12/2021,136.97,138.29,291.75,3247.33
